Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
665009;Târgu Lăpuş;Targu Lapus;Lapus,Lăpuş,Targu-Lapus,Targu-Lapusului,Targul Lapusul,Targul Lapusului,Târgu-Lăpuş,Târgu-Lăpuşului,Târgul Lăpuşul,Târgul Lăpuşului;P;PPLA2;RO;Romania;;25;106817;;;0;;333;Europe/Bucharest;2012-06-12;Romania;47.45261, 23.86539
665017;Târgu Cărbuneşti;Targu Carbunesti;Targu Carbunesti,Targul-Carbunesti,Tirgu Carbunesti,Târgu Cărbuneşti,Târgul-Cărbuneşti,Tîrgu Cărbuneşti;P;PPLA2;RO;Romania;;19;78329;;;8646;;195;Europe/Bucharest;2012-06-12;Romania;44.95, 23.51667
665095;Tâmboeşti;Tamboesti;Tamboesti,Timboesti,Tâmboeşti,Tîmboeşti;P;PPLA2;RO;Romania;;40;178046;;;0;;183;Europe/Bucharest;2012-06-12;Romania;45.51667, 27.05
665110;Tiha Bârgăului;Tiha Bargaului;Bargaului,Bârgăului,Tiha,Tiha Barg,Tiha Birgaului,Tiha Bîrgăului,Tiha-Bargaului,Tiha-Bârgăului;P;PPLA2;RO;Romania;;06;35090;;;4332;;611;Europe/Bucharest;2012-06-12;Romania;47.23333, 24.76667
665196;Ţibana;Tibana;Tibana,Ţibana;P;PPLA2;RO;Romania;;23;99673;;;7098;;162;Europe/Bucharest;2012-06-12;Romania;46.98333, 27.33333
665341;Teiș;Teis;Teis,Teisu,Teisul,Teiş,Teişu,Teişul;P;PPL;RO;Romania;;16;65477;;;2396;;327;Europe/Bucharest;2013-04-21;Romania;44.96285, 25.4028
665962;Strâmbeni;Strambeni;Strambeni,Strimbeni,Strâmbeni,Strîmbeni;P;PPL;RO;Romania;;03;15064;;;1265;;169;Europe/Bucharest;2013-04-21;Romania;44.46897, 24.97315
666016;Straja;Straja;;P;PPL;RO;Romania;;04;21123;;;1316;;464;Europe/Bucharest;2013-04-21;Romania;46.43989, 26.36258
666233;Ștefănești;Stefanesti;Stefanesci,Stefanescĭ,Stefanesti,Stefanesti-Targ,Stefanesti-Tirg,Stefanestii,Stefaneştii,Ştefăneşti,Ştefăneşti-Târg,Ştefăneşti-Tîrg;P;PPLA2;RO;Romania;;07;39168;;;1264;;68;Europe/Bucharest;2013-04-21;Romania;47.79169, 27.20053
666451;Somova;Somova;Somova,Somovo;P;PPLA2;RO;Romania;;37;161302;;;4463;;28;Europe/Bucharest;2012-06-12;Romania;45.18333, 28.66667
